Dimensão,Critério,Métrica,Valor Atual,Classificação,Pontuação,Peso do Critério,Pontuação Ponderada
Bugs,Densidade de defeitos,Bugs/1000 linhas de código,,,,0.25,
Bugs,Cobertura de testes,% do código coberto por testes,,,,0.20,
Bugs,Bugs críticos pendentes,Número absoluto,,,,0.30,
Bugs,Taxa de regressão,% de funcionalidades com regressão,,,,0.15,
Bugs,MTBF,Horas de operação contínua,,,,0.10,
Pontuação Total Bugs,,,,,,,
Performance,Tempo de resposta,Média (milissegundos),,,,0.25,
Performance,Percentil 95 de tempo de resposta,P95 (milissegundos),,,,0.25,
Performance,Utilização de recursos,% CPU/Memória em pico,,,,0.15,
Performance,Escalabilidade,% degradação com 2x usuários,,,,0.15,
Performance,Tempo de inicialização,Segundos,,,,0.05,
Performance,Throughput,Transações por segundo,,,,0.15,
Pontuação Total Performance,,,,,,,
Segurança,Vulnerabilidades críticas,Número absoluto,,,,0.30,
Segurança,Vulnerabilidades totais,Número ponderado,,,,0.20,
Segurança,OWASP Top 10,Cobertura de mitigação,,,,0.20,
Segurança,Segurança de dados,% dados sensíveis protegidos,,,,0.15,
Segurança,Autenticação/Autorização,Nível de conformidade,,,,0.10,
Segurança,Pentest,Resultados,,,,0.05,
Pontuação Total Segurança,,,,,,,
Experiência,Satisfação do usuário,NPS (Net Promoter Score),,,,0.25,
Experiência,Taxa de erro do usuário,% de tarefas com erro,,,,0.20,
Experiência,Tempo de conclusão de tarefa,% acima do esperado,,,,0.15,
Experiência,Acessibilidade,% conformidade com WCAG,,,,0.10,
Experiência,Taxa de abandono,% sessões abandonadas,,,,0.15,
Experiência,Adoção de funcionalidades,% uso de features novas,,,,0.15,
Pontuação Total Experiência,,,,,,,
,,,,,,,
Cálculo de Risco Final,,,,,,,
Dimensão,Pontuação,Peso,Contribuição,,,,
Bugs,,0.25,,,,,
Performance,,0.25,,,,,
Segurança,,0.30,,,,,
Experiência,,0.20,,,,,
,,,,,,,
Pontuação Final:,,,,,,, 
Classificação de Risco:,,,,,,,
